Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
France,FRA,"Population, total",SP.POP.TOTL,46647521,47293811,47990159,48697015,49361165,49945471,50430631,50829214,51175036,51518731,51895793,52320049,52776806,53239101,53666947,54033095,54328016,54565943,54772084,54982879,55224670,55505282,55816654,56149874,56489874,56825158,57155165,57482783,57803824,58113622,58409202,58557072,58849212,59105073,59325793,59540711,59752020,59963792,60185178,60495470,60911057,61355725,61803229,62242474,62702121,63176246,63617975,64012572,64371099,64702921,65023142,65343588,65676758,66028467,66201000,66497000,66878000,67222000,67524000,67780000,67983000,68390000,68715000,68970000,69171000,69332000,69622000,69868000,70072000,70238000,70370000,70630000,70844000,71017000,71152000,71253000,71499000,71698000,71857000,71983000,72082000,72308000,72495000,72645000,72759000,72840000,73046000,73209000,73341000,73455000,73561000
Germany,DEU,"Population, total",SP.POP.TOTL,72814900,73377632,74025784,74714353,75318337,75963695,76600311,76951336,77294314,77909682,78169289,78312842,78688452,78936666,78967433,78673554,78336950,78159814,78091820,78126350,78288576,78407907,78333366,78128282,77858685,77684873,77720436,77839920,78144619,78751283,79433029,80013896,80624598,81156363,81438348,81678051,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,81797673,80425823,80621788,81254000,81081000,80946000,80768000,80558000,80327000,80083000,79939000,79758000,79533000,79255000,78914000,78841000,78663000,78395000,78055000,77660000,77488000,77242000,76924000,76531000,76063000,75865000,75560000,75164000,74693000,74162000,73797000,73377000,72919000,72438000,71950000,71505000,71062000,70617000,70170000,69717000
Italy,ITA,"Population, total",SP.POP.TOTL,50199700,50536350,50879450,51252000,51675350,52112350,52519000,52900500,53235750,53537950,53821850,54073490,54381345,54751406,55110868,55441001,55718260,55955411,56155143,56317749,56433883,56501675,56543548,56564074,56576718,56593071,56596155,56601931,56629288,56671781,56719240,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,59831093,59574000,59634000,59733000,59790000,59805000,59776000,59703000,59770000,59780000,59743000,59669000,59568000,59581000,59561000,59508000,59423000,59306000,59342000,59329000,59269000,59166000,59023000,59059000,59034000,58955000,58831000,58668000,58655000,58589000,58476000,58322000,58133000,58064000,57950000,57800000,57620000,57419000
Spain,ESP,"Population, total",SP.POP.TOTL,30455000,30739250,31023366,31296651,31609195,31954292,32283194,32682947,33113134,33441054,33814531,34191678,34502705,34817071,35154338,35530725,35939437,36370050,36872506,37201123,37439035,37740556,37942805,38122429,38278575,38418817,38535617,38630820,38715849,38791473,38850435,38939049,39067745,39189400,39294967,39387017,39478186,39582413,39721108,39926268,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46761264,46647421,47220000,47371000,47558000,47701000,47803000,47863000,47884000,48021000,48112000,48161000,48174000,48157000,48238000,48289000,48309000,48301000,48263000,48350000,48399000,48414000,48398000,48357000,48440000,48481000,48488000,48462000,48410000,48471000,48486000,48460000,48399000,48305000,48328000,48299000,48224000,48104000,47944000
Switzerland,CHE,"Population, total",SP.POP.TOTL,5327827,5434294,5573815,5694247,5789228,5856472,5918002,5991785,6067714,6136387,6180877,6213399,6260956,6307347,6341405,6338632,6302504,6281174,6281738,6294365,6319408,6354074,6391309,6418773,6441865,6470365,6504124,6545106,6593386,6646912,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8081482,8123000,8199000,8283000,8361000,8434000,8502000,8566000,8647000,8723000,8794000,8861000,8926000,9004000,9077000,9144000,9207000,9266000,9344000,9415000,9478000,9536000,9587000,9662000,9729000,9789000,9843000,9893000,9959000,10020000,10078000,10132000,10185000,10249000,10310000,10369000,10426000,10482000
United Kingdom,GBR,"Population, total",SP.POP.TOTL,52400000,52800000,53250000,53650000,54000000,54348050,54648500,54943600,55211700,55441750,55663250,55896223,56086065,56194527,56229974,56225800,56211968,56193492,56196504,56246951,56314216,56333829,56313641,56332848,56422072,56550268,56681396,56802050,56928327,57076711,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63695687,64097085,64066000,64374000,64783000,65149000,65473000,65756000,65998000,66404000,66740000,67021000,67259000,67467000,67776000,68051000,68291000,68496000,68666000,68992000,69260000,69476000,69645000,69769000,70080000,70333000,70535000,70697000,70826000,71097000,71322000,71509000,71667000,71803000,72037000,72239000,72414000,72568000,72707000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics: Population estimates and projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
